param_foc1,param_val1,param_foc2,param_val2,first_virus,time,variable,value,nutrient,variable2,abund_type
q_nc,0.0011,z_nc,1e-8,RPV,100,V_b_np,0,+N+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,V_c_np,6.759999681743203,+N+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,VbH_low,0,low,PAV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,VbH_n,0,+N,PAV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,VbH_p,0,+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,VbH_np,0,+N+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,VcH_low,4.990814880073814,low,RPV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,VcH_n,5.979362031507194,+N,RPV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,VcH_p,4.990814880073814,+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,VcH_np,5.979362031507194,+N+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,R_n_low,5.054610199831263e-7,low,R_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,R_p_low,9.256557130505066e-8,low,R_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_n_low,0.001100286655478451,low,Q_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_p_low,0.00202746563707574,low,Q_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,H_low,0.037135896021749694,low,H,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,V_b_low,0,low,PAV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,V_c_low,5.710611241325426,low,RPV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,R_n_n,3.970402292465184e-5,+N,R_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,R_p_n,7.965931283250654e-8,+N,R_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_n_n,0.0011100741393230095,+N,Q_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_p_n,0.001744651623990246,+N,Q_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,H_n,0.04316281491178201,+N,H,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,V_b_n,0,+N,PAV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,V_c_n,5.810591037041524,+N,RPV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,R_n_p,5.054610199831263e-7,+P,R_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,R_p_p,5.613223773545375e-6,+P,R_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_n_p,0.001100286655478451,+P,Q_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_p_p,0.02323800516952497,+P,Q_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,H_p,0.037135896021749694,+P,H,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,V_b_p,0,+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,V_c_p,5.710611241325426,+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,R_n_np,3.970402292465184e-5,+N+P,R_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,R_p_np,4.711485879532568e-6,+N+P,R_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_n_np,0.0011100741393230095,+N+P,Q_n,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,Q_p_np,0.020013196558164477,+N+P,Q_p,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,H_np,0.04316281491178201,+N+P,H,NA
q_nc,0.0011,z_nc,1e-6,RPV,100,V_b_np,0,+N+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,V_c_np,5.810591037041524,+N+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-6,RPV,100,VbH_low,0,low,PAV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,VbH_n,0,+N,PAV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,VbH_p,0,+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,VbH_np,0,+N+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,VcH_low,4.280427073117473,low,RPV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,VcH_n,4.445715687647424,+N,RPV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,VcH_p,4.280427073117473,+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-6,RPV,100,VcH_np,4.445715687647424,+N+P,RPV_pop,pop
q_nc,0.0011,z_nc,0.01,RPV,100,R_n_low,5.14440314875759e-7,low,R_n,NA
q_nc,0.0011,z_nc,0.01,RPV,100,R_p_low,9.419743868701674e-8,low,R_p,NA
q_nc,0.0011,z_nc,0.01,RPV,100,Q_n_low,0.0011000000300404637,low,Q_n,NA
q_nc,0.0011,z_nc,0.01,RPV,100,Q_p_low,0.002063115491271296,low,Q_p,NA
q_nc,0.0011,z_nc,0.01,RPV,100,H_low,0.03649346473546842,low,H,NA
q_nc,0.0011,z_nc,0.01,RPV,100,V_b_low,0,low,PAV_conc,con
q_nc,0.0011,z_nc,0.01,RPV,100,V_c_low,5.698295722636515,low,RPV_conc,con
q_nc,0.0011,z_nc,0.01,RPV,100,R_n_n,5.386186322447443e-5,+N,R_n,NA
q_nc,0.0011,z_nc,0.01,RPV,100,R_p_n,9.337524144656747e-8,+N,R_p,NA
q_nc,0.0011,z_nc,0.01,RPV,100,Q_n_n,0.0011000015139740066,+N,Q_n,NA
q_nc,0.0011,z_nc,0.01,RPV,100,Q_p_n,0.002045174695049258,+N,Q_p,NA
q_nc,0.0011,z_nc,0.01,RPV,100,H_n,0.036813962494003385,+N,H,NA
q_nc,0.0011,z_nc,0.01,RPV,100,V_b_n,0,+N,PAV_conc,con
q_nc,0.0011,z_nc,0.01,RPV,100,V_c_n,5.698308384795886,+N,RPV_conc,con
q_nc,0.0011,z_nc,0.01,RPV,100,R_n_p,5.14440314875759e-7,+P,R_n,NA
q_nc,0.0011,z_nc,0.01,RPV,100,R_p_p,5.73060397217322e-6,+P,R_p,NA
q_nc,0.0011,z_nc,0.01,RPV,100,Q_n_p,0.0011000000300404637,+P,Q_n,NA
