time,variable,value,nutrient,variable2,lim_nut_H
0.5555555555555556,R_n_n,5.757269448167871e-4,+N,R_n,Q[N]
0.5555555555555556,R_p_n,7.62401121091697e-5,+N,R_p,Q[N]
0.5555555555555556,Q_n_n,0.005807713142967593,+N,Q_n,Q[N]
0.5555555555555556,Q_p_n,8.574446940588262e-4,+N,Q_p,Q[N]
0.5555555555555556,H_n,0.010755643850519685,+N,H,Q[N]
0.5555555555555556,V_b_n,0,+N,PAV_conc,Q[N]
0.5555555555555556,V_c_n,0,+N,RPV_conc,Q[N]
0.5555555555555556,R_n_p,5.452609835257501e-4,+P,R_n,Q[N]
0.5555555555555556,R_p_p,8.06615274493009e-5,+P,R_p,Q[N]
0.5555555555555556,Q_n_p,0.005806280609884737,+P,Q_n,Q[N]
0.5555555555555556,Q_p_p,8.613074574110302e-4,+P,Q_p,Q[N]
0.5555555555555556,H_p,0.010755627531037914,+P,H,Q[N]
0.5555555555555556,V_b_p,0,+P,PAV_conc,Q[N]
0.5555555555555556,V_c_p,0,+P,RPV_conc,Q[N]
0.5555555555555556,R_n_np,5.757269448167871e-4,+N+P,R_n,Q[N]
0.5555555555555556,R_p_np,8.066152501459735e-5,+N+P,R_p,Q[N]
0.5555555555555556,Q_n_np,0.005807713142967593,+N+P,Q_n,Q[N]
0.5555555555555556,Q_p_np,8.613063685652976e-4,+N+P,Q_p,Q[N]
0.5555555555555556,H_np,0.010755643850519685,+N+P,H,Q[N]
0.5555555555555556,V_b_np,0,+N+P,PAV_conc,Q[N]
0.5555555555555556,V_c_np,0,+N+P,RPV_conc,Q[N]
0.5555555555555556,VbH_low,0,low,PAV_pop,Q[N]
0.5555555555555556,VbH_n,0,+N,PAV_pop,Q[N]
0.5555555555555556,VbH_p,0,+P,PAV_pop,Q[N]
0.5555555555555556,VbH_np,0,+N+P,PAV_pop,Q[N]
0.5555555555555556,VcH_low,0,low,RPV_pop,Q[N]
0.5555555555555556,VcH_n,0,+N,RPV_pop,Q[N]
0.5555555555555556,VcH_p,0,+P,RPV_pop,Q[N]
0.5555555555555556,VcH_np,0,+N+P,RPV_pop,Q[N]
0.5555555555555556,LimQ_low,0.1894500238461325,low,Qlim,Q[N]
0.5555555555555556,LimQ_n,0.18940329401977454,+N,Qlim,Q[N]
0.5555555555555556,LimQ_p,0.1894500238461325,+P,Qlim,Q[N]
0.5555555555555556,LimQ_np,0.18940329401977454,+N+P,Qlim,Q[N]
0.6666666666666666,R_n_low,5.421805794796332e-4,low,R_n,Q[N]
0.6666666666666666,R_p_low,7.505107900610569e-5,low,R_p,Q[N]
0.6666666666666666,Q_n_low,0.00585844877309276,low,Q_n,Q[N]
0.6666666666666666,Q_p_low,9.461992717821923e-4,low,Q_p,Q[N]
0.6666666666666666,H_low,0.010914624386683815,low,H,Q[N]
0.6666666666666666,V_b_low,0,low,PAV_conc,Q[N]
0.6666666666666666,V_c_low,0,low,RPV_conc,Q[N]
0.6666666666666666,R_n_n,5.78731087226391e-4,+N,R_n,Q[N]
0.6666666666666666,R_p_n,7.505107420700181e-5,+N,R_p,Q[N]
0.6666666666666666,Q_n_n,0.005860460135812247,+N,Q_n,Q[N]
0.6666666666666666,Q_p_n,9.46197310319799e-4,+N,Q_p,Q[N]
0.6666666666666666,H_n,0.010914651967011612,+N,H,Q[N]
0.6666666666666666,V_b_n,0,+N,PAV_conc,Q[N]
0.6666666666666666,V_c_n,0,+N,RPV_conc,Q[N]
0.6666666666666666,R_n_p,5.421805794796332e-4,+P,R_n,Q[N]
0.6666666666666666,R_p_p,8.03447749839661e-5,+P,R_p,Q[N]
0.6666666666666666,Q_n_p,0.00585844877309276,+P,Q_n,Q[N]
0.6666666666666666,Q_p_p,9.517186892667379e-4,+P,Q_p,Q[N]
0.6666666666666666,H_p,0.010914624386683815,+P,H,Q[N]
0.6666666666666666,V_b_p,0,+P,PAV_conc,Q[N]
0.6666666666666666,V_c_p,0,+P,RPV_conc,Q[N]
0.6666666666666666,R_n_np,5.78731087226391e-4,+N+P,R_n,Q[N]
0.6666666666666666,R_p_np,8.034477011059117e-5,+N+P,R_p,Q[N]
0.6666666666666666,Q_n_np,0.005860460135812247,+N+P,Q_n,Q[N]
0.6666666666666666,Q_p_np,9.517167203778227e-4,+N+P,Q_p,Q[N]
0.6666666666666666,H_np,0.010914651967011612,+N+P,H,Q[N]
0.6666666666666666,V_b_np,0,+N+P,PAV_conc,Q[N]
0.6666666666666666,V_c_np,0,+N+P,RPV_conc,Q[N]
0.6666666666666666,VbH_low,0,low,PAV_pop,Q[N]
0.6666666666666666,VbH_n,0,+N,PAV_pop,Q[N]
0.6666666666666666,VbH_p,0,+P,PAV_pop,Q[N]
0.6666666666666666,VbH_np,0,+N+P,PAV_pop,Q[N]
0.6666666666666666,VcH_low,0,low,RPV_pop,Q[N]
0.6666666666666666,VcH_n,0,+N,RPV_pop,Q[N]
0.6666666666666666,VcH_p,0,+P,RPV_pop,Q[N]
0.6666666666666666,VcH_np,0,+N+P,RPV_pop,Q[N]
0.6666666666666666,LimQ_low,0.1877630141706085,low,Qlim,Q[N]
0.6666666666666666,LimQ_n,0.1876985722124603,+N,Qlim,Q[N]
0.6666666666666666,LimQ_p,0.1877630141706085,+P,Qlim,Q[N]
0.6666666666666666,LimQ_np,0.1876985722124603,+N+P,Qlim,Q[N]
