param_foc1,param_val1,param_foc2,param_val2,param_foc3,param_val3,param_foc4,param_val4,variable2,nutrient,first,last,growth
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,RPV_conc,low,500000,506628.71142349404,0.43462030523488493
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,RPV_conc,+N,500000,507402.0256165373,0.4849528491814483
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,RPV_conc,+P,500000,506628.71142349404,0.43462030523488493
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,RPV_conc,+N+P,500000,507402.0256165373,0.4849528491814483
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,3e-4,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,RPV_conc,low,500000,504929.5497007971,0.32375691408682217
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,RPV_conc,+N,500000,506561.32868594705,0.43023094044782084
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,RPV_conc,+P,500000,504929.5497007971,0.32375691408682217
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,RPV_conc,+N+P,500000,506561.32868594705,0.43023094044782084
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,4.6969461492148677e-4,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,RPV_conc,low,500000,503628.6868116431,0.23862846519032413
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,RPV_conc,+N,500000,505916.72567689384,0.3882114574947404
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,RPV_conc,+P,500000,503628.6868116431,0.23862846519032413
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,RPV_conc,+N+P,500000,505916.72567689384,0.3882114574947404
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,6e-4,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,RPV_conc,low,500000,502601.3245637483,0.17124234953504672
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,RPV_conc,+N,500000,505407.0500056963,0.35494951116679313
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,RPV_conc,+P,500000,502601.3245637483,0.17124234953504672
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,RPV_conc,+N+P,500000,505407.0500056963,0.35494951116679313
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.031484621031792e-4,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,RPV_conc,low,500000,500646.5079304307,0.04264196097970378
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,RPV_conc,+N,500000,504435.8035059292,0.29147202204357764
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,RPV_conc,+P,500000,500646.5079304307,0.04264196097970378
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,RPV_conc,+N+P,500000,504435.8035059292,0.29147202204357764
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9e-4,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9.660589605519021e-4,q_pc,1e-6,RPV_conc,low,500000,499992.2240767478,-5.132149253780462e-4
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9.660589605519021e-4,q_pc,1e-6,RPV_conc,+N,500000,504110.29576814384,0.27017055505534787
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9.660589605519021e-4,q_pc,1e-6,RPV_conc,+P,500000,499992.2240767478,-5.132149253780462e-4
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,9.660589605519021e-4,q_pc,1e-6,RPV_conc,+N+P,500000,504110.29576814384,0.27017055505534787
