well,sample,target,task,reporter,quencher,cycle,cycle_mean,cycle_sd,quantity,quantity_mean,quantity_sd,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,comments,high_sd,no_amp,outlier_rg,exp_fail,q_group
C8,PAV 1e5,PAV,TEST,FAM,NFQ-MGB,29.03831673,29.16205788,0.131569237,248121.5781,228573.25,20425.89648,TRUE,0.035657635,TRUE,3,26,NA,N,Y,N,Y,1
C8,PAV 1e5,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
C9,PAV 1e5,PAV,TEST,FAM,NFQ-MGB,29.30026054,29.16205788,0.131569237,207370.4219,228573.25,20425.89648,TRUE,0.035657635,TRUE,3,27,NA,N,Y,N,Y,1
C9,PAV 1e5,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
C10,RPV 1e5,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
C10,RPV 1e5,RPV,TEST,VIC,NFQ-MGB,31.17773056,31.10859871,0.061443482,64532.19141,67539.4375,2677.427246,TRUE,0.032394665,TRUE,3,29,NA,N,Y,N,Y,1
C11,RPV 1e5,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
C11,RPV 1e5,RPV,TEST,VIC,NFQ-MGB,31.060215,31.10859871,0.061443482,69664.32813,67539.4375,2677.427246,TRUE,0.032394665,TRUE,3,28,NA,N,Y,N,Y,1
C12,RPV 1e5,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
C12,RPV 1e5,RPV,TEST,VIC,NFQ-MGB,31.08785248,31.10859871,0.061443482,68421.78906,67539.4375,2677.427246,TRUE,0.032394665,TRUE,3,29,NA,N,Y,N,Y,1
